2631 Mcingvale Rd,Food ,Hernando,US,us/ms/hernando/2631mcingvalerd/-1257054299,34.822393,-89.973027,7,7,USD,2016-06-06T16:18:13Z,,Byo Pizza,Buon Cibo,38632,USD,0,25,MS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
2631 Mcingvale Rd,Food ,Hernando,US,us/ms/hernando/2631mcingvalerd/-1257054299,34.822393,-89.973027,4.75,4.75,USD,2016-06-06T16:18:13Z,,Cheese Pizza,Buon Cibo,38632,USD,0,25,MS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
2631 Mcingvale Rd,Food ,Hernando,US,us/ms/hernando/2631mcingvalerd/-1257054299,34.822393,-89.973027,4.75,4.75,USD,2016-06-06T16:18:13Z,,Pepperoni Pizza,Buon Cibo,38632,USD,0,25,MS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
14004 E Indiana Ave,Pizza Place,Spokane,US,us/cityofspokanevalley/spokane/14004eindianaave/326673297,47.675464,-117.225497,10.75,10.75,USD,2016-12-21T10:01:36Z,,Eggscellent Pizza (white),Boston's Restaurant & Sports Bar,99216,USD,0,25,City Of Spokane Valley
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
555 Soquel Ave,Caterers,Santa Cruz,US,us/ca/santacruz/555soquelave/608951304,36.97572,-122.01743,5.99,5.99,USD,2016-03-29T04:55:45Z,,Mini Pizza,Ristorante Italiano,95062,USD,25,40,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.79,8.79,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z","Creamy artichoke spinach sauce, featuring bacon, is topped with sliced chicken breast, fresh tomatoes, artichokes, mozzarella and cheddar cheese.",Artichoke Chicken Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.79,8.79,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z","Sweet bbq sauce topped with bbq chicken breast, bacon, red onions and mozzarella and gouda cheeses. garnished with cilantro and crispy onions.",Barbecue Chicken Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.99,8.99,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z","Alfredo sauce, sliced grilled chicken breast, bacon, fresh mushrooms, spinach and roma tomatoes. topped with mozzarella and smoked gouda cheeses.",California Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.79,8.79,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z","Homestyle tomato sauce, sliced chicken breast,   bacon and fresh roma tomatoes topped with smoked   provolone, mozzarella and cheddar cheeses.",Chicken Club Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.79,8.79,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z",,Margherita Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.79,8.79,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z",,Pepperoni Pizza,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
11981 S Strang Line Rd,Italian Restaurant,Olathe,US,us/ks/olathe/11981sstranglinerd/1448400452,38.90896786,-94.76871014,8.59,8.59,USD,"2016-04-19T03:19:10Z,2016-06-28T17:05:44Z",Create your own specialty pizza from any of our sauces and 3 toppings.,Pizza Mia,Zios Italian Kitchen - Olathe,66062,USD,25,40,KS
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
378 Broad St,American Restaurants,Bloomfield,US,us/grove/bloomfield/378broadst/-1132632277,40.806263,-74.192924,17,17,USD,2016-05-10T03:08:47Z,,Cheese Steak Pizza,Town Pub,7003,USD,25,40,Grove
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
378 Broad St,American Restaurants,Bloomfield,US,us/grove/bloomfield/378broadst/-1132632277,40.806263,-74.192924,17,17,USD,2016-05-10T03:08:47Z,,Chicken Parmesan Pizza,Town Pub,7003,USD,25,40,Grove
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
378 Broad St,American Restaurants,Bloomfield,US,us/grove/bloomfield/378broadst/-1132632277,40.806263,-74.192924,5,5,USD,2016-05-10T03:08:47Z,,Personal Pizza,Town Pub,7003,USD,25,40,Grove
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
378 Broad St,American Restaurants,Bloomfield,US,us/grove/bloomfield/378broadst/-1132632277,40.806263,-74.192924,15,15,USD,2016-05-10T03:08:47Z,,Vodka Sauce Pizza,Town Pub,7003,USD,25,40,Grove
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
28985 Golden Lantern,Restaurant,Laguna Niguel,US,us/ca/lagunaniguel/28985goldenlantern/-673748289,33.54206,-117.69095,2.95,2.95,USD,2016-03-28T05:54:05Z,,Pizza Bagel,I Love Bagels,92677,USD,0,25,CA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
6007 Us 60 E,Italian Restaurant,Barboursville,US,us/wv/barboursville/6007us60e/735805872,38.413007,-82.307758,6.99,6.99,USD,2016-05-10T21:17:11Z,"With two toppings, sauce and mozzarella.",Personal Pizza,Tascali's Decades Pasta & Grill,25504,USD,25,40,WV
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
6007 Us 60 E,Italian Restaurant,Barboursville,US,us/wv/barboursville/6007us60e/735805872,38.413007,-82.307758,5.99,5.99,USD,2016-05-10T21:17:11Z,,Pizza Bread,Tascali's Decades Pasta & Grill,25504,USD,25,40,WV
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1602 E Forsyth St,Restaurant,Americus,US,us/ga/americus/1602eforsythst/713519866,32.071243,-84.208984,3.75,3.75,USD,2016-04-04T03:33:43Z,Flour tortilla topped with cheese sauce and ground beef,Mexican Pizza,La Hacienda,31709,USD,25,40,GA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
14805 W 64th Ave,Sales Promotions & Counseling Services,Arvada,US,us/co/arvada/14805w64thave/-2116432010,39.812653,-105.166004,12,12,USD,2017-03-02T22:05:38Z,,White Pizza,Martinizing,80007,USD,50,55,CO
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
1 Corporate Dr,Deli ,Shelton,US,us/ct/shelton/1corporatedr/953915551,41.27626,-73.12953,5.25,5.25,USD,"2016-04-02T05:05:50Z,2016-05-19T14:23:53Z","Breaded chicken with 2 ounces of pepperoni, melted provolone topped with marinara sauce",Chicken Pizza,Enterprise Deli,6484,USD,0,25,CT
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
932 S 10th St,Italian Restaurant,Philadelphia,US,us/pa/philadelphia/932s10thst/117733744,39.938407,-75.159763,8.95,8.95,USD,2017-02-12T19:56:06Z,,Pizza Burger,Carluccio's,19147,USD,25,40,PA
address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
